Decile (Top%),Response Rate,Lift vs Overall,Cumulative Capture
10%,0.5054678007290401,4.487116101730423,0.4482758620689655
20%,0.22815533980582525,2.025370354871108,0.6508620689655172
30%,0.0825242718446602,0.7325807666555072,0.7241379310344828
40%,0.05825242718446602,0.5171158352862404,0.7758620689655172
50%,0.05218446601941747,0.4632496024439236,0.822198275862069
60%,0.05103280680437424,0.4530261448862446,0.8674568965517241
70%,0.04247572815533981,0.37706362989621695,0.9051724137931034
80%,0.03398058252427184,0.3016509039169735,0.9353448275862069
90%,0.03762135922330097,0.33397064362236356,0.96875
100%,0.03519417475728155,0.31242415048543687,1.0
